group,variable,value
followers,135,253
friends,135,282
verified,135,0
created_at,135,2011-08-22 01:46:17.000000
statuses,135,51964
id,136,136
name,136,mvi_smooth88
user_id,136,1250496563471933440
followers,136,240
friends,136,560
verified,136,0
created_at,136,2020-04-15 18:50:06.000000
statuses,136,649
id,137,137
name,137,rubenavendano
user_id,137,45741403
followers,137,169
friends,137,455
verified,137,0
created_at,137,2009-06-09 02:29:40.000000
statuses,137,2491
id,138,138
name,138,OdegaardStephen
user_id,138,1227601399665569792
followers,138,75
friends,138,158
verified,138,0
created_at,138,2020-02-12 14:32:49.000000
statuses,138,5206
id,139,139
name,139,theEuropeanGuy
user_id,139,1287325416
followers,139,103
friends,139,376
verified,139,0
created_at,139,2013-03-22 00:35:31.000000
statuses,139,1941
id,140,140
name,140,TheOriginal_Leo
user_id,140,24033152
followers,140,505
friends,140,652
verified,140,0
created_at,140,2009-03-12 20:48:12.000000
statuses,140,17653
id,141,141
name,141,droosion
user_id,141,234176520
followers,141,2084
friends,141,2396
verified,141,0
created_at,141,2011-01-05 00:58:09.000000
statuses,141,19630
id,142,142
name,142,tippie279
user_id,142,104739197
followers,142,33
friends,142,74
verified,142,0
created_at,142,2010-01-14 07:04:10.000000
statuses,142,2698
id,143,143
name,143,HarryDred92nd
user_id,143,380499780
followers,143,925
friends,143,1021
verified,143,0
created_at,143,2011-09-26 19:09:53.000000
statuses,143,34154
id,144,144
name,144,ScottRulebook22
user_id,144,485584481
followers,144,447
friends,144,564
verified,144,0
created_at,144,2012-02-07 10:57:07.000000
statuses,144,67857
id,145,145
name,145,CinemaDave
user_id,145,15333841
followers,145,182
friends,145,1039
verified,145,0
created_at,145,2008-07-06 16:43:31.000000
statuses,145,14864
id,146,146
name,146,rptito189
user_id,146,351710713
followers,146,797
friends,146,1120
verified,146,0
created_at,146,2011-08-09 16:51:38.000000
statuses,146,7411
id,147,147
name,147,Clevelander85
user_id,147,51333486
followers,147,132
friends,147,795
verified,147,0
created_at,147,2009-06-27 03:34:48.000000
statuses,147,3956
id,148,148
name,148,mattsteen14
user_id,148,61795983
followers,148,596
friends,148,813
verified,148,0
